"Customweb_SaferpayCw::* Required Fields","* Erforderliche Felder"
"Customweb_SaferpayCw::-- No Status Change --","-- Keine Statusänderung --"
"Customweb_SaferpayCw::3D Secure","3D Secure"
"Customweb_SaferpayCw::3D Secure Authentication","3D Secure Authentifikation"
"Customweb_SaferpayCw::3D Secure failed","3D Secure ist fehlgeschlagen."
"Customweb_SaferpayCw::3D Secure sucess","3D Secure erfolgreich"
"Customweb_SaferpayCw::3d secure failed.","3d Secure fehlgeschlagen."
"Customweb_SaferpayCw::3ds Authentication","3ds Authentifizierung"
"Customweb_SaferpayCw::3ds Liability Shift","3ds Haftungsumkehr"
"Customweb_SaferpayCw::A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"Customweb_SaferpayCw::A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_SaferpayCw::A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"Customweb_SaferpayCw::A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"Customweb_SaferpayCw::A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"Customweb_SaferpayCw::A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_SaferpayCw::A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"Customweb_SaferpayCw::A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"Customweb_SaferpayCw::A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"Customweb_SaferpayCw::A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_SaferpayCw::A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"Customweb_SaferpayCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"Customweb_SaferpayCw::A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"Customweb_SaferpayCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_SaferpayCw::About","Über"
"Customweb_SaferpayCw::Account Holder","Kontoinhaber"
"Customweb_SaferpayCw::Account Holder Name","Kontoinhaber"
"Customweb_SaferpayCw::Account Number","Account Number"
"Customweb_SaferpayCw::Account holder","Kontoinhaber"
"Customweb_SaferpayCw::Account name: @account","Kontoinhaber: @account"
"Customweb_SaferpayCw::Account owner name.","Kontoinhaber"
"Customweb_SaferpayCw::Acquirer Reference","Acquirer Reference"
"Customweb_SaferpayCw::Action","Aktion"
"Customweb_SaferpayCw::Action blocked by risk management","Aktion wurde vom Riskmanagement blockiert"
"Customweb_SaferpayCw::Action not supported.","Aktion nicht unterstützt."
"Customweb_SaferpayCw::Actions","Aktionen"
"Customweb_SaferpayCw::Activate","Aktiv"
"Customweb_SaferpayCw::Active","Aktiv"
"Customweb_SaferpayCw::Additional Information","Zusätzliche Informationen"
"Customweb_SaferpayCw::Adjust Qty","Anzahl anpassen"
"Customweb_SaferpayCw::Adjustment Discount","Korrektur-Ermässigung"
"Customweb_SaferpayCw::Adjustment Fee","Bearbeitungsgebühr"
"Customweb_SaferpayCw::After payment selection","Nach der Wahl der Zahlungsmethode"
"Customweb_SaferpayCw::Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Beispiel-Alias"
"Customweb_SaferpayCw::Alias ID","Alias ID"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","Alle Kunden"
"Customweb_SaferpayCw::Allowed Currencies","Erlaubte Währungen"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Customweb_SaferpayCw::Already registered?","Bereits registriert?"
"Customweb_SaferpayCw::Always Checkout as Guest","Immer als Gast auschecken"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Betrag"
"Customweb_SaferpayCw::Amount Incl. Tax","Betrag inkl. Steuern"
"Customweb_SaferpayCw::Amount: @amount","Betrag: @amount"
