"SEPA Direct Debit","SEPA-Lastschrift"
"SEPA Direct Debit Mandates","SEPA-Lastschriftmandate"
"Direct Debit Mandates (SEPA)","Lastschriftmandate (SEPA)"
"SEPA Direct Debit Payments","SEPA-Lastschriftzahlungen"
"Direct Debit Payments (SEPA)","Lastschriftzahlungen (SEPA)"
"SEPA Direct Debit Advanced Settings","SEPA-Lastschrift Erweiterte Einstellungen"
"Account Holder","Kontoinhaber"
"IBAN","IBAN"
"SWIFT-BIC","SWIFT-BIC (Bank-Code)"
"Valid SEPA Direct Debit Mandate","Gültiges SEPA-Lastschriftmandat"
"SEPA Direct Debit Mandate","SEPA-Lastschriftmandat"
"SEPA Direct Debit Mandate - One-Off Payment","SEPA-Lastschriftmandat für einmalige Zahlung"
"SEPA Direct Debit Mandate - Recurrent Payment","SEPA-Lastschriftmandat für wiederkehrende Zahlung"
"Creditor","Gläubiger"
"Creditor Identifier","Gläubiger-Identifikationsnummer"
"Mandate Identifier","Mandat-Referenznummer"
"Mandate Identifier: %s","Mandat-Referenznummer: %s"
"Mandate Identifier Format","Referenznummernformat"
"Will be assigned after order placement","Wird nach dem Kauf vergeben"
"Company","Firma"
"Address","Straße und Hausnummer"
"Postal Code","Postleitzahl"
"City","Ort"
"Country","Land"
"-- Please Select an Agreement --","-- Bitte Bestellbedingung wählen --"
"IBAN Validation","IBAN-Prüfung"
"IBAN Validation and Display","IBAN-Prüfung und -Anzeige"
"BIC Validation","BIC-Prüfung"
"Invalid or incomplete information:","Bankverbindung ungültig oder unvollständig:"
"Exported","Exportiert"
"Last Export","Letzter Export"
"Set Exported","Exportmarkierung ändern"
"All payments have been already exported.","Alle Zahlungen wurden bereits exportiert."
"Mandate Template for Recurrent Payment","Mandatvorlage für wiederkehrende Zahlung"
"Mandate Template for One-Off Payment","Mandatvorlage für Einmalzahlung"
"Enable Mandate for Recurrent Payment","Mandat für wiederkehrende Zahlung aktivieren"
"Accept Mandate for Recurrent Payment from All Customer Groups","Mandat für wiederkehrende Zahlung von allen Kundengruppen akzeptieren"
"Accept Mandate for Recurrent Payment from Specific Customer Groups","Mandat für wiederkehrende Zahlung von bestimmten Kundengruppen akzeptieren"
"Mandate Management","Mandat-Verwaltung"
"Payment Method Explanation","Erläuterung der Zahlungsmethode"
"Displayed in checkout.","Wird in Kasse angezeigt."
"Setup an Agreement as SEPA Direct Debit Mandate","Eine Bestellbedingung als SEPA-Lastschriftmandat einrichten"
"Setup the condition in <em>Sales > Terms and conditions</em>.","Richten Sie die Bestellbedingung in <em>Verkäufe &gt; Bestellbedingungen</em> ein."
"IBAN Validation and Display","IBAN-Validierung und -Anzeige"
"IBAN Validation","IBAN-Validierung"
"Checks at least the length of the IBAN.","Prüft zumindest die Länge der IBAN."
"IBAN Country Validation","IBAN-Landeseinschränkung"
"Restrict IBAN to the billing address country.","Schränkt die Gültigkeit der IBAN auf das Land in der Rechnungsadresse ein."
"IBAN Checksum Validation","IBAN-Prüfsummenvalidierung"
"IBAN Display Mode","IBAN-Anzeigemodus"
"BIC Validation","BIC-Validierung"
"Checks at least the length of the BIC.","Prüft zumindest die Länge der BIC."
"BIC Country Validation","BIC-Landeseinschränkung"
"Restrict BIC to the billing address country.","Schränkt die Gültigkeit der IBAN auf das Land in der Rechnungsadresse ein."
"BIC Format Validation","BIC-Formatvalidierung"
"Checks the format of the BIC.","Prüft das Format der BIC."
"Optional BIC","Optionale BIC"
"If enabled, BIC may be empty or valid.","Wenn aktiviert, darf BIC entweder leer oder gültig sein."
"Optional BIC Restriction","Einschränkung für optionale BIC"
"Optional BIC for Specific Countries","Optionale BIC für bestimmte Länder"
"Hide Optional BIC","Eingabefeld für optionale BIC ausblenden"
"Mandate Email","Mandat-E-Mail"
"Send Mandate Email","Mandat per E-Mail zusenden"
"Mandate Email Template","E-Mail-Vorlage für das Mandat"
"Mandate Email Sender","Absender für die E-Mail mit dem Mandat"
"Reference Identifier Notice","Referenznummer-Hinweis"
"Leave empty to use the default text.","Leer lassen, um den Standardtext zu verwenden."
"For the SEPA Direct Debit payment we require a mandate that you may grant in the next step. The mandate will be sent to your e-mail address afterwards.","Für die Zahlung per SEPA-Lastschrift benötigen wir von Ihnen ein SEPA-Lastschriftmandat, das Sie im nächsten Schritt erteilen. Das Mandat wird anschließend an Ihre E-Mail-Adresse versendet."
"Displayed in preview instead of the mandate identifier.","Wird in der Vorschau an Stelle der Mandat-Referenznummer angezeigt."
"Displayed in preview instead of the mandate identifier.<br/>Leave empty to use the default text.","Wird in der Vorschau an Stelle der Mandat-Referenznummer angezeigt.<br/>Leer lassen, um den Standardtext zu verwenden."
"Checkbox Label","Checkbox-Beschriftung"
"Reference variable: {{var mandate_content}}.","Referenz-Variable: {{var mandate_content}}."
"Reference variable in the mandate condition:<br/>{{var mandate_content}}.","Referenz-Variable in der Mandat-Bestellbedingung:<br/>{{var mandate_content}}."
"Reference variable: {{var mandate_checkbox}}.","Referenz-Variable: {{var mandate_checkbox}}."
