"EBICS Payment Export","EBICS-Export von Zahlungen"
"This setting will be ignored, if EBICS Export is enabled.","Diese Einstellung wird ignoriert, wenn EBICS-Export aktiviert."
"Test Mode","Testmodus"
"Real-Time Transaction Status","Transaktion-Status in Echtzeit"
"Display real-time transaction data in order details.","Echtzeitstatus der Transaktion in Bestelldetails."
"Real-Time Mandate Status","Mandat-Status in Echtzeit"
"Display real-time mandate data in mandate details.","Echtzeitstatus des Mandats in Detailansicht."
"Enable Refund Export","Export von Erstattungen aktivieren"
"Valid Order Status for Export","Gültiger Bestellstatus für Export"
"Order Limit per Request","Bestellanzahl pro Anfrage beschränken"
"Leave empty to export all remaining orders.","Leer lassen, um alle restlichen Bestellungen zu exportieren."
"Transaction Export Schedule","Export-Zeitplan"
"Cron syntax: minute hour day month weekday.","Cron-Syntax: minute hour day month weekday."
"Enables instant payment notifications. Requires webhook configuration in SEPAone settings.","Aktiviert sofortige Zahlungsmitteilungen. Erfordert Webhook-Konfiguration in SEPAone-Einstellungen."
"Create Invoice Automatically","Rechnung automatisch erstellen"
"Creates invoice automatically when funds received.","Erstellt automatisch eine Rechnung bei Zahlungserhalt."
"Hold On Chargeback","Zurückstellen bei Rückbuchung"
"Set order on hold on chargeback.","Stellt Bestellung zurück bei Rückbuchung."
"Refund exported immediately after submit in backend.","Erstattung wird sofort nach dem Speichern exportiert."
"Enable Mandate Revocation","Mandatwiderruf aktivieren"
"Revoke local mandate depending on remote status.","Lokales Mandat abhängig vom entfernten Status widerrufen."
"EBICS Export","EBICS-Export"
"EBICS Export (SEPAone)","EBICS-Export (SEPAone)"
"Webhook Secret","Webhook Geheimnis"
"Protection for the webhook URL.","Schutz für die Webhook URL."
"Mandate not found.","Mandat nicht gefunden."
"Help: <a href=""http://sepagento.com/docs/ebics"" target=""_blank"">http://sepagento.com/docs/ebics</a>","Help: <a href=""http://sepagento.de/docs/ebics"" target=""_blank"">http://sepagento.de/docs/ebics</a>"
"Custom Reference","Benutzerdefinierter Verwendungszweck"
"Reference is the text visible for the customer on the statement of account.","Verwendungszweck ist der Text sichtbar für den Kunden auf dem Kontoauszug."
"Custom Reference Template","Vorlage für den Verwendungszweck"
"Use %s as placeholder for the order number.","Verwenden Sie %s als Platzhalter für die Bestellnummer."
"The default reference is the order number.","Der Standardverwendungszweck ist die Bestellnummer."
