"Item information","Item information"
"Title","Title"
"File","File"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Content","Content"
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Item","Add Item"
"ID","ID"
"Item Content","Item Content"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Item Manager","Item Manager"
"In Login Popup","In Login Popup"
"Under Login Link","Under Login Link"
"Items Manager","Items Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please enter a username and password.","Please enter a username and password."
"Thank you for registering with %s.","Thank you for registering with %s."
"Social Login","Social Login"
"Settings","Settings"
"Allow Everything","Allow Everything"
"Sociallogin","Sociallogin"
"AdvancedCheckout.com","AdvancedCheckout.com"
"General Configuration","General Configuration"
"Enable","Enable"
"Display Social Login","Display Social Login"
"Facebook Login Configuration","Facebook Login Configuration"
"Active","Active"
"App ID","App ID"
"Secret","Secret"
"Sort Order","Sort Order"
"Google Login Configuration","Google Login Configuration"
"Client ID","Client ID"
"Client Secret","Client Secret"
"Redirect URI","Redirect URI"
"Yahoo Login Configuration","Yahoo Login Configuration"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Twitter Login Configuration","Twitter Login Configuration"
"LinkedIn Login Configuration","LinkedIn Login Configuration"
"Positions of social login buttons in frontend","Positions of social login buttons in frontend"
"<a href="https://developers.facebook.com/apps/?action=create" target="_bank">Register</a>","<a href="https://developers.facebook.com/apps/?action=create" target="_bank">Register</a>"
"<a href="https://cloud.google.com/console" target="_bank">Register</a>","<a href="https://cloud.google.com/console" target="_bank">Register</a>"
"<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>","<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>"
"<a href="https://apps.twitter.com/app/new" target="_bank">Register</a>","<a href="https://apps.twitter.com/app/new" target="_bank">Register</a>"
"<a href="https://www.linkedin.com/secure/developer" target="_bank">Register</a>","<a href="https://www.linkedin.com/secure/developer" target="_bank">Register</a>"
"Facebook Sign in","Facebook Sign in"
"Google Sign in","Google Sign in"
"Linkedin Sign in","Linkedin Sign in"
"Facebook","Facebook"
"Google","Google"
"Linkedin","Linkedin"
"Twitter Sign in","Twitter Sign in"
"Twitter","Twitter"
"Yahoo Sign in","Yahoo Sign in"
"Yahoo","Yahoo"
"Signin with","Signin with"
