"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::-- No Status Change --","-- No Status Change --"
"Customweb_SaferpayCw::3D Secure","3D Secure"
"Customweb_SaferpayCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_SaferpayCw::3D Secure failed","3D Secure verification failed"
"Customweb_SaferpayCw::3D Secure sucess","3D Secure successfull"
"Customweb_SaferpayCw::3d secure failed.","3D secure failed."
"Customweb_SaferpayCw::3ds Authentication","3ds Authentication"
"Customweb_SaferpayCw::3ds Liability Shift","3ds Liability Shift"
"Customweb_SaferpayCw::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_SaferpayCw::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_SaferpayCw::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_SaferpayCw::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_SaferpayCw::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_SaferpayCw::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_SaferpayCw::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_SaferpayCw::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_SaferpayCw::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_SaferpayCw::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_SaferpayCw::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_SaferpayCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"Customweb_SaferpayCw::A refund was added over !amount.","A refund was added over !amount."
"Customweb_SaferpayCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_SaferpayCw::About","About"
"Customweb_SaferpayCw::Account Holder","Account Holder"
"Customweb_SaferpayCw::Account Holder Name","Account holder"
"Customweb_SaferpayCw::Account Number","Account Number"
"Customweb_SaferpayCw::Account holder","Account holder"
"Customweb_SaferpayCw::Account name: @account","Account name: @account"
"Customweb_SaferpayCw::Account owner name.","Account holder"
"Customweb_SaferpayCw::Acquirer Reference","Acquirer Reference"
