"General Settings Micropayment","General Settings Micropayment"
"Project ID","Project ID"
"AccessKey","AccessKey"
"Test Mode","Test Mode"

"Micropayment Domain","Micropayment Domain"
"Theme","Theme"
"GFX","Logo GFX"
"Background Color","Background Color"
"Background GFX","Background GFX"
"Secret Field","Secret Field - To secure the communication"
"Refundmode","Refundmode"
"Generate creditmemo for invoice","Generate creditmemo for invoice"
"Book amounts directly to order","Book amounts directly to order"

"OrderStatusSetting","Order Status Setting"
"NewOrderStatus","New Order Status"
"PaymentStatus","Payment Status"
"ErrorStatus","Cancel and Error Status"
"CancelStatus","Refund Status"
"PendingStatus","Status Pending Payment"

"DisplaySettings","DisplaySettings"

"Paytext","Paytext"
"Invoicemode","Invoicemode"
"Generate automatic invoice","Generate automatic invoice"
"Generate manual invoice","Generate manual invoice"

"Enabled","Enabled"
"Title","Title"
