"Service Point","Service Point"
"Connect with SendCloud","Connect with SendCloud"
"Go to SendCloud","Go to SendCloud"
"SendCloud","SendCloud"
"SendCloud Service Point API","SendCloud Service Point API"
"Activate Service Point","Activate Service Point"
"Deactivate Service Point","Deactivate Service Point"
"Auto Connect","Auto Connect"
"Service Point Flat Rate","Service Point Flat Rate"
"Free Shipping Enabled","Free Shipping Enabled"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Shipping Methods","Shipping Methods"
"Enabled","Enabled"
"Method Name","Method Name"
"Price","Price"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Fee","Handling Fee"
"Sort Order","Sort Order"
"Title","Title"
"Type","Type"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
