"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::-- No Status Change --","-- No Status Change --"
"Customweb_SaferpayCw::3D Secure","3D Secure con éxito"
"Customweb_SaferpayCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_SaferpayCw::3D Secure failed","3D Secure fallado"
"Customweb_SaferpayCw::3D Secure sucess","3D Secure con éxito"
"Customweb_SaferpayCw::3d secure failed.","3d secure falló."
"Customweb_SaferpayCw::3ds Authentication","Autenticación 3ds"
"Customweb_SaferpayCw::3ds Liability Shift","Cambio de responsabilidad de 3ds"
"Customweb_SaferpayCw::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_SaferpayCw::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_SaferpayCw::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_SaferpayCw::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_SaferpayCw::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_SaferpayCw::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_SaferpayCw::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_SaferpayCw::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_SaferpayCw::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_SaferpayCw::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_SaferpayCw::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"Customweb_SaferpayCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"Customweb_SaferpayCw::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"Customweb_SaferpayCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_SaferpayCw::About","About"
"Customweb_SaferpayCw::Account Holder","Titular de la cuenta"
"Customweb_SaferpayCw::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_SaferpayCw::Account Number","Account Number"
"Customweb_SaferpayCw::Account holder","Account holder"
"Customweb_SaferpayCw::Account name: @account","Nombre de la cuenta: @account"
"Customweb_SaferpayCw::Account owner name.","Nombre del titular"
"Customweb_SaferpayCw::Acquirer Reference","Referencia del adquirente"
"Customweb_SaferpayCw::Action","Acción"
"Customweb_SaferpayCw::Action blocked by risk management","Acción bloqueada por la gestión de riesgos"
"Customweb_SaferpayCw::Action not supported.","Acción no apoyada."
"Customweb_SaferpayCw::Actions","Actions"
"Customweb_SaferpayCw::Activate","Activate"
"Customweb_SaferpayCw::Active","Activo"
"Customweb_SaferpayCw::Additional Information","Additional Information"
"Customweb_SaferpayCw::Adjust Qty","Ajuste de cantidad"
"Customweb_SaferpayCw::Adjustment Discount","Adjustment Discount"
"Customweb_SaferpayCw::Adjustment Fee","Adjustment Fee"
"Customweb_SaferpayCw::After payment selection","Después de elegir la forma de pago"
"Customweb_SaferpayCw::Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Alias ​​para la exhibición"
"Customweb_SaferpayCw::Alias ID","ID de alias"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","All Customers"
"Customweb_SaferpayCw::Allowed Currencies","Allowed Currencies"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Customweb_SaferpayCw::Already registered?","Already registered?"
"Customweb_SaferpayCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Importe"
"Customweb_SaferpayCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_SaferpayCw::Amount: @amount","Importe: @amount"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","Ha ocurrido un error: ____ ModuleCamel____ respuesta es: '!data'"
"Customweb_SaferpayCw::Approval mode","Approval mode"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_SaferpayCw::Authentication failed","Error de autenticación"
"Customweb_SaferpayCw::Authentication failed, please check the configuration","Error de autenticación, por favor, compruebe la configuración"
"Customweb_SaferpayCw::Author","Author"
"Customweb_SaferpayCw::Authorization Amount","Importe de autorisación"
"Customweb_SaferpayCw::Authorization Failed","Autorisación fallada"
"Customweb_SaferpayCw::Authorization Method","Método de autorización"
"Customweb_SaferpayCw::Authorization is uncertain.","Autorización está incierta"
"Customweb_SaferpayCw::Authorized Status","Estado autorizado"
"Customweb_SaferpayCw::Await Notification","Await Notification"
"Customweb_SaferpayCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","Bad signature format."
"Customweb_SaferpayCw::Bank Code","Bank Code"
"Customweb_SaferpayCw::Bank Location","Banco Ubicación"
"Customweb_SaferpayCw::Bank Name","Nombre del banco"
"Customweb_SaferpayCw::Bank account number","Número de cuenta bancaria"
"Customweb_SaferpayCw::Bank code","Bank code"
"Customweb_SaferpayCw::Bank code number","Código bancario"
"Customweb_SaferpayCw::Bank name","Bank name"
"Customweb_SaferpayCw::Bank: @bank","Banco: @bank"
"Customweb_SaferpayCw::Before payment selection","Antes de elegir la forma de pago"
"Customweb_SaferpayCw::Billing Address","Billing Address"
"Customweb_SaferpayCw::Billing Information","Billing Information"
"Customweb_SaferpayCw::Billing address","Dirección de facturación"
"Customweb_SaferpayCw::Billing address is sent","Enviar dirección de facturación"
"Customweb_SaferpayCw::Billing and Delivery address is sent","La dirección de facturación y de entrega se envía"
"Customweb_SaferpayCw::Billing and Shipping","Facturación y envío"
"Customweb_SaferpayCw::Billpay Approval","Billpay Approval"
"Customweb_SaferpayCw::Billpay General Terms","Billpay condiciones generales"
"Customweb_SaferpayCw::Brand Name","Brand Name"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","Al proceder a la compra, acepta los condiciones generales."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_SaferpayCw::CVC Code","CVC código"
"Customweb_SaferpayCw::Cancel","Cancel"
"Customweb_SaferpayCw::Cancel ID","Cancel ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Cancelar órdenes pendientes si el artículo ya no está en stock"
"Customweb_SaferpayCw::Cancel status","Cancelar Estado"
"Customweb_SaferpayCw::Canceled SaferpayCw","Canceled SaferpayCw"
"Customweb_SaferpayCw::Canceling of this payment not possible!","La cancelación de este pago no es posible"
"Customweb_SaferpayCw::Cancelled Status","Etapa Cancelado"
"Customweb_SaferpayCw::Cancelled.","Cancelado"
"Customweb_SaferpayCw::Cannot update item quantity.","No se puede actualizar la cantidad de artículo."
"Customweb_SaferpayCw::Capture Amount","Capture Amount"
"Customweb_SaferpayCw::Capture ID","Capture ID"
"Customweb_SaferpayCw::Capture amount","Cantidad de captura"
"Customweb_SaferpayCw::Capture information","Informaciones de la contabilización"
"Customweb_SaferpayCw::Capture status","El estado de captura"
"Customweb_SaferpayCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_SaferpayCw::Captured Amount","Importe reembolsado"
"Customweb_SaferpayCw::Captured Status","Estado Capturado"
"Customweb_SaferpayCw::Captures","Captures"
"Customweb_SaferpayCw::Captures & Refunds","Captures & Refunds"
"Customweb_SaferpayCw::Capturing","Captura"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","Contabilización no posible. Resultado del contabilización '!result'"
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","Contabilización no posible. Error técnico. Respuesta del servidor '!response'"
"Customweb_SaferpayCw::Card Country Origin","País de origen de la tarjeta"
"Customweb_SaferpayCw::Card Expiration","Fecha de vencimiento de la tarjeta"
"Customweb_SaferpayCw::Card Expiry Date","Fecha de caducidad de la tarjeta"
"Customweb_SaferpayCw::Card Form - Holder Name","Formulario de tarjeta - Nombre del titular"
"Customweb_SaferpayCw::Card Holder Name","Titular de tarjeta"
"Customweb_SaferpayCw::Card Number","Número de tarjeta"
"Customweb_SaferpayCw::Card Reference ID","ID de referencia de la tarjeta"
"Customweb_SaferpayCw::Card Type","Tipo de tarjeta"
"Customweb_SaferpayCw::Card verification mode","Modo de verificación de la tarjeta"
"Customweb_SaferpayCw::Carrier Title","Carrier Title"
"Customweb_SaferpayCw::Check out faster","Check out faster"
"Customweb_SaferpayCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Checkout as Guest"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Checkout as a Guest or Register"
"Customweb_SaferpayCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_SaferpayCw::Checkout using your account","Checkout using your account"
"Customweb_SaferpayCw::Checkout with MasterPass.","Checkout con MasterPass."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
