"Customweb_SaferpayCw::* Required Fields","* Champs requis"
"Customweb_SaferpayCw::-- No Status Change --","-- Pas de changement de statut --"
"Customweb_SaferpayCw::3D Secure","3D Secure"
"Customweb_SaferpayCw::3D Secure Authentication","Authentification 3D Secure"
"Customweb_SaferpayCw::3D Secure failed","3D Secure a échoué."
"Customweb_SaferpayCw::3D Secure sucess","3D Secure avec succès"
"Customweb_SaferpayCw::3d secure failed.","3-D Secure a échoué."
"Customweb_SaferpayCw::3ds Authentication","Authentification 3ds"
"Customweb_SaferpayCw::3ds Liability Shift","Transfert des responsabilités 3ds"
"Customweb_SaferpayCw::A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"Customweb_SaferpayCw::A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"Customweb_SaferpayCw::A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"Customweb_SaferpayCw::A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"Customweb_SaferpayCw::A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"Customweb_SaferpayCw::A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"Customweb_SaferpayCw::A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"Customweb_SaferpayCw::A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"Customweb_SaferpayCw::A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"Customweb_SaferpayCw::A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"Customweb_SaferpayCw::A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
"Customweb_SaferpayCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Certains modes de paiement ne sont pas disponible pour des pays spécifiques. Définissez l'instant dans lequel vous voulez que le contrôle de disponibilité soit fait. Nous recommendons séléctionner 'Pendant l'autorisation'."
"Customweb_SaferpayCw::A refund was added over !amount.","Un remboursement de !amount a été ajouté."
"Customweb_SaferpayCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Une transaction peut être incertaine si le paiement n'est pas garanti. Par example, si la carte de crédit ne fait pas partie du processus 3D secure."
"Customweb_SaferpayCw::About","À propos de nous"
"Customweb_SaferpayCw::Account Holder","Nom du titulaire du compte"
"Customweb_SaferpayCw::Account Holder Name","Nom du titulaire du compte"
"Customweb_SaferpayCw::Account Number","Numéro de compte"
"Customweb_SaferpayCw::Account holder","Account holder"
"Customweb_SaferpayCw::Account name: @account","Nom du compte: @account"
"Customweb_SaferpayCw::Account owner name.","Nom du titulaire du compte"
"Customweb_SaferpayCw::Acquirer Reference","Référence Acquéreur"
"Customweb_SaferpayCw::Action","Action"
"Customweb_SaferpayCw::Action blocked by risk management","Transaction bloquée par la Gestion des risques"
"Customweb_SaferpayCw::Action not supported.","Action non supportée."
"Customweb_SaferpayCw::Actions","Actions"
"Customweb_SaferpayCw::Activate","Activé"
"Customweb_SaferpayCw::Active","Activé"
"Customweb_SaferpayCw::Additional Information","Informations complémentaires"
"Customweb_SaferpayCw::Adjust Qty","Ajuster la quantité"
"Customweb_SaferpayCw::Adjustment Discount","Ajustement des rabais"
"Customweb_SaferpayCw::Adjustment Fee","Frais d'ajustement"
"Customweb_SaferpayCw::After payment selection","Après la sélection du mode de paiement"
"Customweb_SaferpayCw::Ajax authorization not supported.","Autorisation Ajax pas possible."
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Alias pour l'affichage"
"Customweb_SaferpayCw::Alias ID","Alias ID"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","Tous les clients"
"Customweb_SaferpayCw::Allowed Currencies","Devises autorisés"
