"Customweb_SaferpayCw::* Required Fields","* campo obbligatorio"
"Customweb_SaferpayCw::-- No Status Change --","-- Nessun cambiamento di stato --"
"Customweb_SaferpayCw::3D Secure","3D Secure"
"Customweb_SaferpayCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_SaferpayCw::3D Secure failed","3D Secure fallito"
"Customweb_SaferpayCw::3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"Customweb_SaferpayCw::3d secure failed.","3D secure non é andato a buon fine."
"Customweb_SaferpayCw::3ds Authentication","Autenticazione 3ds"
"Customweb_SaferpayCw::3ds Liability Shift","3ds Liability Shift"
"Customweb_SaferpayCw::A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"Customweb_SaferpayCw::A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"Customweb_SaferpayCw::A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"Customweb_SaferpayCw::A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"Customweb_SaferpayCw::A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"Customweb_SaferpayCw::A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"Customweb_SaferpayCw::A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"Customweb_SaferpayCw::A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"Customweb_SaferpayCw::A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"Customweb_SaferpayCw::A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"Customweb_SaferpayCw::A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"Customweb_SaferpayCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
