"Print Shipcloud Labels","Paketaufkleber shipcloud drucken"
"Choose a carrier for label creating","Bitte wählen Sie Ihren Versender zur Erzeugung des Paketaufklebers"
"Submit Shipment","Versand durchführen"
"Configuration options","Konfigurations Optionen"
"Packaging Description","Kostenstelle / Referenz Nummer 1"
"Add tracking number automatically ?","Trackingnummer automatisch hinzufügen"
"Shipment Description","Beschreibung Versand"
"Carrier","Paketdienst"
"Configuration weight","Paketangaben"
"Weight","Gewicht"
"Length","Länge"
"Width","Breite"
"Height","Höhe"
"Customer Address","Lieferadresse"
"Company name","Firmenname"
"First name","Vorname"
"Last name","Nachname"
"Attention name","Ansprechpartner"
"Phone number","Telefonnummer"
"Street","Strasse"
"Street no","Hausnummer"
"City","Stadt"
"State (province)","Bundesland"
"Postal code","Postleitzahl"
"Country code","Ländercode"
"Print label","Druck Paketaufkleber"
"Delete label","Löschen Paketaufkleber"
"back","zurück"
"Shipcloud label","Paketaufkleber anzeigen"
"Shipcloud the Logistic Interface","Shipcloud Logistik"
"Configuration options","Konfigurations Einstellungen"
"shipcloud-API-production-key","API-Live-Key"
"shipcloud-API-sandbox-key", "Sandbox-Key"
"Interface-POST-Shipment-URL","POST-Versand-URL"
"Interface-GET-Shipment-URL","GET-Versand-URL"
"Interface-PUT-Shipment-URL","PUT-Versand-URL"
"Interface-DELETE-Shipment-URL","DELETE-Versand-URL"
"Interface-GET-carrier-URL","GET-Versanddienstleister-URL"
"Interface-POST-rate-URL","POST-Tarife-URL"
"Testmode","Sandbox-Modus (Testen)"
"default carrier","Vorausgewählter (standard) Versender"
"packing description (reference code)","Fester vordefinierter Referenzwert (z.B. Kostenstelle)"
"Add tracking number automatically ?","Sendungsnummer automatisch hinzufügen?"
"Default length","Vorausgewählte Länge"
"Default width","Vorausgewählte Breite"
"Default height","Vorausgewählte Höhe"
"Shipper","Versenderangaben"
"Company name","Firmenname"
"Phone Number","Telefonnummer"
"Attention Name","Ansprechpartner"
"State Province Code","Bundesland"
"Postal Code","Postleitzahl"
"Country Code","Ländercode (DE)"
"Custom Duty Description","Zoll Erklärung / Deklaration"
"Insurance value in","Versicherungswert in"
"Default insurrancevalue","Vorausgewählter Versicherungswert"
"please only change if you want to use carrier specific packagetypes as default","Nur möglich wenn Carrier vers. Pakettypen zur Auswahl stellt"
"ShipCloud","shipcloud"
"creating return label","Rücksendeaufkleber erstellen?"
"if this in use as default every shipment creates a return label, too","Bei Ja werden automatisch mit dem Versandaufkleber Rücksendeaufkleber erstellt!!"
"default package type","Voreingestellte Verpackungsart"
