"Service Point","Servicepunt"
"Connect with SendCloud","Koppel met SendCloud"
"Go to SendCloud","Ga naar SendCloud"
"SendCloud","SendCloud"
"SendCloud Service Point API","SendCloud Servicepunt API"
"Activate Service Point","Activeren Servicepunt"
"Deactivate Service Point","Deactiveren Servicepunt"
"Auto Connect","Auto Connect"
"Service Point Flat Rate","Servicepunt Vast Tarief"
"Free Shipping Enabled","Gratis Verzenden Toevoegen"
"Minimum Order Amount for Free Shipping","Minimale Orderwaarde voor Gratis Verzenden"
"Shipping Methods","Shipping Methods"
"Enabled","Ingeschakeld"
"Method Name","Naam van methode"
"Price","Prijs"
"Calculate Handling Fee","Bestelkosten berekenen"
"Handling Fee","Bestelkosten"
"Sort Order","Sorteer volgorde"
"Title","Titel"
"Type","Type"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Show Method if Not Applicable","Laat verzendwijze zien indien niet van toepassing"
"Displayed Error Message","Weergeven foutbericht"
