"Print Shipcloud Labels","Print Shipcloud labels"
"Choose a carrier for label creating","Kies een carrier voor het aanmaken van labels"
"Submit Shipment","Verzending aanmaken"
"Configuration options","Configuratie opties"
"Packaging Description","Omschrijving verpakking"
"Add tracking number automatically ?","Tracking nummer automatisch toevoegen ?"
"Shipment Description","Omschrijving verzending"
"Carrier","Pakketdienst"
"Configuration weight","Configuratie gewicht"
"Weight","Gewicht"
"Length","Lengte"
"Width","Breedte"
"Height","Hoogte"
"Customer Address","Afleveradres"
"Company name","Bedrijfsnaam"
"First name","Voornaam"
"Last name","Achternaam"
"Attention name","Ter attentie van"
"Phone number","Telefoon nummer"
"Street","Straat"
"Street no","Huisnummer"
"City","Woonplaats"
"State (province)","Provincie"
"Postal code","Postcode"
"Country code","Land code"
"Print label","Print label"
"Delete label","Verwijder label"
"back","terug"
"Shipcloud label","Shipcloud label"
"Shipcloud the Logistic Interface","Shipcloud Logistiek"
"Configuration options","Configuratie instellingen"
"shipcloud-API-production-key","API-Live-Key"
"shipcloud-API-sandbox-key", "Sandbox-Key"
"Interface-POST-Shipment-URL","POST-Verzend-URL"
"Interface-GET-Shipment-URL","GET-Verzend-URL"
"Interface-PUT-Shipment-URL","PUT-Verzend-URL"
"Interface-DELETE-Shipment-URL","DELETE-Verzend-URL"
"Interface-GET-carrier-URL","GET-Pakketdienst-URL"
"Interface-POST-rate-URL","POST-Tarieven-URL"
"Testmode","Testmode (sandbox)"
"default carrier","Standaard Pakketdienst"
"packing description (reference code)","Omschrijving verpakking (referentie)"
"Default length","Standaard lengte"
"Default width","Standaard breedte"
"Default height","Standaard hoogte"
"Shipper","Pakketdienst"
"Company name","Bedrijfsnaam"
"Phone Number","Telefoon nummer"
"State Province Code","Provincie"
"Postal Code","Postcode"
"Country Code","Landcode"
"Insurance value in","Verzekerde waarde in"
"Default insurrancevalue","Standaard verzekerde waarde"
"please only change if you want to use carrier specific packagetypes as default","keuze afhankelijk van Pakketdienst"
