" (This was a gift)", " (To był prezent)"
"(Bundled Product)", "(Produkt złożony)"
"(received a gift)", "(otrzymanie prezentu)"
"* Required Fields", "* Wymagane Pola"
"--", "--"
"-- Please Select --", "-- Proszę wybrać --"
"-- Select a Condition --", "-- Wybierz stan --"
"-- Select a Reason --", "-- Wybierz powód --"
"-- Select a Resolution --", "-- Wybierz decyzję --"
"-- Select an Order --", "-- Wybierz zamówienie --"
"Condition", "Stan"
"Quantity to return", "Ilość do zwrotu"
"Reason", "Powód"
"Resolution", "Decyzja"
"Active", "Aktywny"
"Add Comment", "Dodaj komentarz"
"Add Message", "Dodaj wiadomość"
"Add New Condition", "Dodaj nowy stan"
"Add New Field", "Dodaj nowe pole"
"Add New RMA", "Dodaj nowy zwrot"
"Add New Reason", "Dodaj nowy powód"
"Add New Resolution", "Dodaj nową decyzję"
"Add New Status", "Dodaj nowy status"
"Additional Information", "Dodatkowe informacje"
"All", "Wszystko"
"Allow Everything", "Pozwól na wszystko"
"Allow both ways", "Pozwól na oba wyjścia"
"Allow to request RMA after order completion, days", "Pozwól na prośbę zwrotu po gotowym zamówieniu, dni"
"Allow to request RMA if order has status", "Pozwól na prośbę zwrotu jeżeli zamówienie ma status"
"Allow upload only attachments with extensions", "Pozwól wysyłaś załączniki z rozszerzeniami"
"Allowed extensions:", "Dozwolone rozszerzenia:"
"Are you sure?", "Jesteś pewien?"
"Ask customer to confirm shipping", "Spytaj klienta o potwierdzenie wysyłki"
"Ask to agree with RMA policy text", "Spytaj o zaakceptowanie warunków umowy zwrotu"
"Attach files", "Załącz pliki"
"Automatically", "Automatycznie"
"Back to My Returns", "Wróć do moich zwrotów"
"Brand", "Marka"
"CMS block with RMA policy text", "Blok CMS z warunkami umowy zwrotu"
"CSV", "CSV"
"Change status", "Zmień status"
"Checkbox", "Checkbox"
"City", "Miasto"
"Code", "Kod"
"Code of "Brand" attribute", "Kod atrybutu "Marka""
"Company", "Firma"
"Condition", "Stan"
"Conditions", "Stany"
"Confirm Shipping", "Potwierdzenie wysyłki"
"Contact Information", "Informacje kontaktowe"
"Counter Increment Step", "Counter Increment Step"
"Counter Length", "Counter Length"
"Create Credit Memo", "Stwórz notatkę kredytową"
"Create New Condition", "Stwórz nowy stan"
"Create New Field", "Stwórz nowe pole"
"Create New RMA", "Stwórz nowy zwrot"
"Create New Reason", "Stwórz nowy powód"
